"A","S","Gain"
0,"1",612
0.04,"1",661
0.1,"1",734
0.16,"1",742
0.28,"1",777
0.44,"1",817
0,"2",627
0.04,"2",637
0.1,"2",686
0.16,"2",718
0.28,"2",777
0.44,"2",783
0,"3",626
0.04,"3",674
0.1,"3",716
0.16,"3",784
0.28,"3",797
0.44,"3",775
0,"1",631
0.04,"1",657
0.1,"1",695
0.16,"1",738
0.28,"1",759
0.44,"1",781
0,"2",611
0.04,"2",631
0.1,"2",709
0.16,"2",727
0.28,"2",741
0.44,"2",797
0,"3",626
0.04,"3",668
0.1,"3",738
0.16,"3",770
0.28,"3",802
0.44,"3",815
0,"1",628
0.04,"1",663
0.1,"1",706
0.16,"1",736
0.28,"1",764
0.44,"1",789
0,"2",601
0.04,"2",689
0.1,"2",715
0.16,"2",708
0.28,"2",752
0.44,"2",771
0,"3",632
0.04,"3",671
0.1,"3",728
0.16,"3",757
0.28,"3",789
0.44,"3",825
0,"1",617
0.04,"1",687
0.1,"1",687
0.16,"1",750
0.28,"1",777
0.44,"1",795
0,"2",626
0.04,"2",649
0.1,"2",692
0.16,"2",710
0.28,"2",742
0.44,"2",782
0,"3",627
0.04,"3",673
0.1,"3",738
0.16,"3",788
0.28,"3",782
0.44,"3",770
0,"1",635
0.04,"1",653
0.1,"1",700
0.16,"1",757
0.28,"1",770
0.44,"1",773
0,"2",623
0.04,"2",654
0.1,"2",697
0.16,"2",731
0.28,"2",753
0.44,"2",788
0,"3",617
0.04,"3",677
0.1,"3",741
0.16,"3",764
0.28,"3",785
0.44,"3",822
0,"1",635
0.04,"1",672
0.1,"1",714
0.16,"1",732
0.28,"1",795
0.44,"1",783
0,"2",653
0.04,"2",679
0.1,"2",693
0.16,"2",710
0.28,"2",748
0.44,"2",782
0,"3",616
0.04,"3",667
0.1,"3",710
0.16,"3",756
0.28,"3",778
0.44,"3",779
0,"1",614
0.04,"1",678
0.1,"1",702
0.16,"1",750
0.28,"1",750
0.44,"1",791
0,"2",628
0.04,"2",661
0.1,"2",698
0.16,"2",715
0.28,"2",746
0.44,"2",763
0,"3",622
0.04,"3",658
0.1,"3",717
0.16,"3",753
0.28,"3",817
0.44,"3",795
0,"1",624
0.04,"1",665
0.1,"1",696
0.16,"1",740
0.28,"1",796
0.44,"1",798
0,"2",621
0.04,"2",650
0.1,"2",666
0.16,"2",742
0.28,"2",736
0.44,"2",789
0,"3",649
0.04,"3",650
0.1,"3",735
0.16,"3",753
0.28,"3",766
0.44,"3",782
0,"1",596
0.04,"1",656
0.1,"1",689
0.16,"1",752
0.28,"1",806
0.44,"1",772
0,"2",632
0.04,"2",668
0.1,"2",702
0.16,"2",710
0.28,"2",757
0.44,"2",774
0,"3",628
0.04,"3",666
0.1,"3",739
0.16,"3",752
0.28,"3",806
0.44,"3",789
0,"1",601
0.04,"1",713
0.1,"1",704
0.16,"1",746
0.28,"1",784
0.44,"1",784
0,"2",628
0.04,"2",662
0.1,"2",693
0.16,"2",726
0.28,"2",758
0.44,"2",810
0,"3",609
0.04,"3",656
0.1,"3",725
0.16,"3",762
0.28,"3",796
0.44,"3",798
